source_type,predicate_label,target_type,count
chemical,has defining ingredient,chemical,2
cell,has_low_plasma_membrane_amount,unknown,2
chemical,is substituent group from,unknown,2
anatomy,has participant,chemical,2
anatomy,lumen of,anatomy,2
disease,disease has basis in disruption of,gene,2
unknown,inheres in,go,2
unknown,function of,pathway,2
catalyst,has vaccine contraindication,catalyst,2
gene,has disposition at all times,gene,2
chemical,produced by,organism,2
cell,has_low_plasma_membrane_amount,go,2
catalyst,has function,catalyst,2
organism,type,catalyst,2
disease,realized in response to,anatomy,2
pathway,has function,unknown,2
catalyst,type,anatomy,2
disease,realized in,anatomy,2
disease,disease_has_basis_in_development_of,anatomy,2
protein,type,catalyst,2
cell,realizes,cell,2
chemical,inheres in,chemical,2
unknown,has phenotype,unknown,2
disease,part of progression of disease,disease,2
cell,derived from cell line,cell,2
catalyst,has vaccine protective antigen,catalyst,2
cell,capable of part of,go,2
disease,has modifier,anatomy,2
organism,has part,gene,2
cell,located_in,anatomy,2
disease,disease has feature,unknown,2
unknown,phenotype of,unknown,2
anatomy,directly develops from,anatomy,2
gene,is genome of organism,organism,2
anatomy,located_in,disease,2
anatomy,during which ends,anatomy,2
cell,derived from anatomic part,disease,2
cell,type,phenotype,2
phenotype,interacts_with,phenotype,2
anatomy,in distal side of,anatomy,2
phenotype,interacts_with_an_exposure_receptor_via,phenotype,2
unknown,has modifier,disease,2
anatomy,capable of part of,unknown,2
phenotype,part of,unknown,2
gene,type,disease,2
anatomy,surrounds,go,2
cell,synapsed to,cell,2
cell,part of,gene,2
anatomy,type,cell,2
gene,is gene of organism,organism,2
anatomy,capable of,phenotype,2
phenotype,has part,anatomy,2
anatomy,distal_to,anatomy,2
unknown,type,gene,2
disease,disease triggers,go,2
chemical,part of,anatomy,2
catalyst,inheres in,organism,2
catalyst,immunizes against disease,disease,2
unknown,adjacent to,anatomy,2
cell,has_disease_location,disease,2
disease,disease causes dysfunction of,anatomy,2
anatomy,bounding layer of,cell,2
phenotype,located_in,anatomy,2
anatomy,develops_from,cell,2
phenotype,occurs in,cell,2
phenotype,bearer of,phenotype,2
unknown,has part,anatomy,2
anatomy,in proximal side of,anatomy,2
phenotype,occurs in,go,2
phenotype,part of,go,2
unknown,has parent hydride,chemical,2
catalyst,has subunit vaccine antigen,catalyst,2
chemical,in taxon,organism,2
go,has part,unknown,1
cell,derives_from,organism,1
disease,realizes,disease,1
phenotype,has_quality,unknown,1
catalyst,has bacterial vaccine vector,catalyst,1
catalyst,has component,catalyst,1
anatomy,immediate transformation of,unknown,1
unknown,has_quality,catalyst,1
anatomy,located_in,go,1
disease,has part,disease,1
phenotype,towards,phenotype,1
cell,occurs in,anatomy,1
disease,located_in,disease,1
anatomy,has_role,anatomy,1
chemical,has member,chemical,1
anatomy,output_of,phenotype,1
anatomy,input of,phenotype,1
catalyst,type,disease,1
anatomy,composed primarily of,organism,1
phenotype,part of,chemical,1
disease,has onset,phenotype,1
chemical,has input,chemical,1
unknown,disease has feature,phenotype,1
anatomy,existence ends during or before,anatomy,1
unknown,capable of,go,1
anatomy,causal agent in,anatomy,1
disease,has participant at all times,disease,1
anatomy,immediately anterior to,anatomy,1
phenotype,interacts_with_an_exposure stressor_via,phenotype,1
unknown,connected to,anatomy,1
protein,has part,unknown,1
rna,guided_by,rna,1
catalyst,<none>,catalyst,1
phenotype,inheres in at all times,disease,1
anatomy,has part,organism,1
disease,in taxon,organism,1
catalyst,concretizes,catalyst,1
rna,transcribed_from,rna,1
chemical,inheres in,phenotype,1
anatomy,formed as result of,go,1
catalyst,has vaccine virmugen,catalyst,1
anatomy,starts with,anatomy,1
phenotype,characteristic of part of,chemical,1
anatomy,ends with,anatomy,1
anatomy,overlaps,unknown,1
chemical,part of,chemical,1
anatomy,adjacent to,go,1
chemical,is enantiomer of,unknown,1
phenotype,participates in,anatomy,1
cell,produces,go,1
anatomy,bearer of,phenotype,1
phenotype,has habitat,anatomy,1
disease,disease has basis in disruption of,unknown,1
cell,has_role,cell,1
phenotype,has occurrent part,phenotype,1
cell,preceded by,go,1
unknown,immunizes host,organism,1
disease,disease causes dysfunction of,gene,1
gene,type,catalyst,1
anatomy,contains process,anatomy,1
catalyst,has subunit vaccine antigen,chemical,1
anatomy,layer part of,anatomy,1
unknown,has modifier,rna,1
cell,in taxon,organism,1
anatomy,regulates (processual),anatomy,1
organism,type,anatomy,1
phenotype,towards,protein,1
unknown,disease arises from feature,phenotype,1
unknown,has potential to develop into,anatomy,1
anatomy,bounding layer of,unknown,1
disease,has_disease_location,anatomy,1
unknown,is enantiomer of,chemical,1
anatomy,determined by part of,anatomy,1
unknown,has_role,catalyst,1
cell,derived from organism,anatomy,1
catalyst,has participant,catalyst,1
anatomy,has_quality,unknown,1
protein,involved_in,go,1
disease,disease has basis in dysfunction of,chemical,1
cell,has_high_plasma_membrane_amount,unknown,1
anatomy,immediately posterior to,anatomy,1
disease,disease arises from feature,unknown,1
cell,derives from patient having disease,cell,1
disease,predisposes towards,phenotype,1
disease,disease has basis in accumulation of,chemical,1
unknown,has function,catalyst,1
catalyst,has vaccine antigen,protein,1
anatomy,participates in,anatomy,1
unknown,contributes to morphology of,anatomy,1
protein,part of,protein,1
anatomy,derives_from,chemical,1
cell,cell line cell-induced adenocarcinoma formation in mouse,gene,1
protein,has component,unknown,1
chemical,is tautomer of,unknown,1
unknown,capable of part of,go,1
phenotype,in right side of,anatomy,1
disease,contained_in,disease,1
phenotype,existence overlaps,go,1
catalyst,immunizes against microbe,unknown,1
cell,induced by cell culture reagent,chemical,1
catalyst,DNA vaccine expresses protein antigen,catalyst,1
phenotype,realizes,phenotype,1
anatomy,trunk_part_of,anatomy,1
protein,derives_from,chemical,1
catalyst,has boost vaccine,catalyst,1
catalyst,role of,catalyst,1
chemical,has food substance analog,chemical,1
catalyst,has viral vaccine vector,catalyst,1
anatomy,develops_from,unknown,1
anatomy,composed primarily of,protein,1
disease,realized in response to stimulus,protein,1
chemical,has input,anatomy,1
cell,has participant,chemical,1
go,has part,protein,1
unknown,characteristic of part of,anatomy,1
anatomy,adjacent to,cell,1
cell,has output,disease,1
unknown,has disease,disease,1
anatomy,synapsed by,cell,1
cell,derived from organism,cell,1
go,is ubiquitination,go,1
anatomy,extends_fibers_into,cell,1
catalyst,has disposition,catalyst,1
anatomy,posteriorly connected to,anatomy,1
go,ends_during,go,1
anatomy,aboral to,anatomy,1
phenotype,produced by,anatomy,1
disease,realized in response to stimulus,go,1
unknown,negatively regulates,go,1
gene,has_role,catalyst,1
disease,disease has inflammation site,cell,1
phenotype,in left side of,anatomy,1
cell,is disease model for,anatomy,1
cell,derived from anatomic part,organism,1
go,is kinase activity,go,1
unknown,has part,go,1
cell,overexpresses gene,protein,1
disease,has_disease_location,cell,1
catalyst,has prime vaccine,catalyst,1
catalyst,realizes,catalyst,1
anatomy,has 2D boundary,anatomy,1
cell,directly develops from,cell,1
catalyst,vaccine organism secretes,catalyst,1
unknown,is tautomer of,chemical,1
anatomy,has potential to developmentally contribute to,cell,1
phenotype,has participant at all times,phenotype,1
